Odorant,Winning probability,Reward (MU),beta (log-odds),SE,95% CI low,95% CI high,p,p (FDR within winning-probability level)
Timberol,0.25,420,0.196,0.266,-0.326,0.718,0.4608,0.643
Cadaverine,0.5,420,-0.365,0.316,-0.984,0.255,0.2489,0.7657
Caproic acid,0.5,420,-0.387,0.291,-0.958,0.183,0.1834,0.6473
Citral,0.5,420,-0.932,0.344,-1.606,-0.258,0.0067,0.1608
Myrcene,0.5,420,0.178,0.316,-0.44,0.797,0.5724,0.9416
Trimethylamine,0.5,420,-0.188,0.386,-0.945,0.569,0.6267,0.9416
Timberol,0.5,420,-0.559,0.323,-1.191,0.073,0.083,0.4978
Cadaverine,0.75,420,-0.451,0.334,-1.105,0.203,0.1764,0.4125
Caproic acid,0.75,420,-0.319,0.309,-0.925,0.286,0.3015,0.5168
Citral,0.75,420,-0.976,0.363,-1.688,-0.264,0.0072,0.1739
Myrcene,0.75,420,0.692,0.328,0.048,1.335,0.0351,0.214
Trimethylamine,0.75,420,0.085,0.42,-0.738,0.909,0.839,0.9236
Timberol,0.75,420,-0.286,0.347,-0.967,0.395,0.4108,0.606
Cadaverine,0.25,440,0.166,0.309,-0.44,0.772,0.591,0.7626
Caproic acid,0.25,440,0.402,0.285,-0.155,0.96,0.1575,0.2589
Citral,0.25,440,-0.082,0.332,-0.732,0.568,0.8049,0.8988
Myrcene,0.25,440,0.094,0.341,-0.574,0.763,0.7816,0.8933
Trimethylamine,0.25,440,0.928,0.364,0.215,1.641,0.0107,0.0286
Timberol,0.25,440,0.13,0.274,-0.408,0.667,0.6365,0.795
Cadaverine,0.5,440,-0.412,0.329,-1.056,0.232,0.2101,0.6815
Caproic acid,0.5,440,-0.454,0.299,-1.041,0.133,0.1293,0.5984
Citral,0.5,440,-1.049,0.352,-1.738,-0.36,0.0028,0.0854
Myrcene,0.5,440,0.201,0.323,-0.433,0.834,0.5349,0.9416
Trimethylamine,0.5,440,-0.217,0.399,-0.998,0.564,0.5862,0.9416
Timberol,0.5,440,-0.626,0.338,-1.289,0.037,0.0642,0.4579
Cadaverine,0.75,440,-0.498,0.348,-1.181,0.184,0.1525,0.3979
Caproic acid,0.75,440,-0.386,0.319,-1.011,0.239,0.226,0.4513
Citral,0.75,440,-1.093,0.373,-1.825,-0.362,0.0034,0.1017
Myrcene,0.75,440,0.714,0.338,0.052,1.377,0.0346,0.214
Trimethylamine,0.75,440,0.056,0.434,-0.794,0.907,0.8968,0.9607
Timberol,0.75,440,-0.353,0.364,-1.066,0.361,0.3327,0.5396
Cadaverine,0.25,460,0.119,0.315,-0.499,0.736,0.7064,0.8393
Caproic acid,0.25,460,0.335,0.288,-0.23,0.901,0.2446,0.3716
Citral,0.25,460,-0.199,0.335,-0.856,0.458,0.5523,0.7364
Myrcene,0.25,460,0.117,0.345,-0.558,0.792,0.7343,0.8555
Trimethylamine,0.25,460,0.899,0.37,0.175,1.624,0.0149,0.0373
Timberol,0.25,460,0.063,0.284,-0.493,0.618,0.8251,0.8988
Cadaverine,0.5,460,-0.459,0.342,-1.131,0.212,0.1798,0.6473
Caproic acid,0.5,460,-0.521,0.308,-1.125,0.084,0.0913,0.498
Citral,0.5,460,-1.166,0.36,-1.873,-0.46,0.0012,0.0484
Myrcene,0.5,460,0.223,0.332,-0.428,0.874,0.5016,0.9416
Trimethylamine,0.5,460,-0.246,0.412,-1.053,0.561,0.5501,0.9416
Timberol,0.5,460,-0.693,0.355,-1.388,0.003,0.0508,0.4358
Cadaverine,0.75,460,-0.546,0.364,-1.259,0.168,0.1338,0.373
Caproic acid,0.75,460,-0.453,0.329,-1.098,0.193,0.1692,0.4125
Citral,0.75,460,-1.211,0.384,-1.962,-0.459,0.0016,0.0639
Myrcene,0.75,460,0.737,0.349,0.053,1.42,0.0346,0.214
Trimethylamine,0.75,460,0.027,0.449,-0.853,0.907,0.9516,0.9652
Timberol,0.75,460,-0.42,0.381,-1.167,0.328,0.2714,0.4945
Cadaverine,0.25,480,0.071,0.323,-0.561,0.704,0.8252,0.8988
Caproic acid,0.25,480,0.269,0.293,-0.306,0.843,0.3594,0.5196
Citral,0.25,480,-0.316,0.34,-0.982,0.349,0.3515,0.5144
Myrcene,0.25,480,0.139,0.349,-0.545,0.824,0.6899,0.8278
Trimethylamine,0.25,480,0.87,0.377,0.132,1.608,0.0208,0.05
Timberol,0.25,480,-0.004,0.295,-0.582,0.573,0.9885,0.9891
Cadaverine,0.5,480,-0.507,0.357,-1.207,0.193,0.156,0.6038
Caproic acid,0.5,480,-0.588,0.318,-1.211,0.036,0.0649,0.4579
Citral,0.5,480,-1.284,0.37,-2.009,-0.559,5e-04,0.0312
Myrcene,0.5,480,0.246,0.342,-0.424,0.916,0.4724,0.9416
Trimethylamine,0.5,480,-0.275,0.426,-1.11,0.559,0.5182,0.9416
